id,code,name,region
52000,52004092,龙港市人民医院,浙江
52001,52004108,辽宁省健康产业集团抚矿总医院,辽宁
52002,52004086,北京市中西医结合医院,北京
52003,52001119,白水县医院,陕西
52004,52004248,上海中医药大学附属岳阳中西医结合医院,上海
52005,52004118,首都医科大学附属北京儿童医院黑龙江医院江南院区,黑龙江
52006,52001350,康定县人民医院,四川
52007,52004098,大连市妇女儿童医疗中心(集团)希望广场儿童院区,辽宁
52008,52000313,双鸭山矿业集团有限公司第二医院,黑龙江
52009,52001351,甘洛县人民医院,四川
52010,52001407,石柱土家族自治县妇幼保健所,重庆
52011,52001352,德格县人民医院,四川
52012,52004089,长春市儿童医院,吉林
52013,52004223,天津石化医院,天津
52014,52004287,攸县人民医院,湖南
52015,52001412,酉阳县中医院,重庆
52016,52004158,中国人民解放军东部战区总医院,江苏
52017,52004260,漳州市中医院,福建
52018,52004222,天津市南开医院,天津
52019,52004230,廊坊市人民医院,河北
52020,52000314,吉林新华医院,吉林
52021,623745,罗氏诊断产品（苏州）有限公司,江苏
52022,52004074,安康市中心医院,陕西
52023,52004320,常州市第一人民医院,江苏
52024,52004285,龙岩人民医院,福建
52025,52004346,浙江省义乌市中医院,浙江
52026,52004331,浙江大学医学院附属第一医院城站分院,浙江
52027,52004335,济南市中心医院,山东
52028,52004337,上海市第六人民医院金山分院,上海
52029,52004341,苏北人民医院,江苏
52030,52004349,丽水市人民医院,浙江
52031,52004103,大连大学附属中山医院,辽宁
52032,52004264,复星诊断科技(上海)有限公司,上海
52033,52004267,宁波博泰生物技术有限公司,浙江
52034,52004263,中生北控生物科技股份有限公司,北京
52035,52004113,林州市人民医院,河南
52036,52004312,蚌埠市第二人民医院,安徽
52037,52004127,中国人民解放军第九六四医院,吉林
52038,52004355,宁波市妇女儿童医院,浙江
52039,52004328,杭州市萧山区第一人民医院,浙江
52040,52004347,浙江省人民医院,浙江
52041,52001012,甘南州妇幼保健院,甘肃
52042,52004155,中国人民解放军联勤保障部队第九四〇医院,甘肃
52043,52004315,上海市胸科医院,上海
52044,52004292,中国人民解放军中部战区总医院汉口院区,湖北
52045,52004344,新昌县人民医院,浙江
52046,52004376,上海中医药大学附属龙华医院,上海
52047,52004340,江苏省省级机关医院,江苏
52048,52004348,上海市普陀区利群医院,上海
52049,52004290,昆明市第三人民医院,云南
52050,52004321,上海市东方医院,上海
52051,52004332,上海市静安区中心医院,上海
52052,52004156,兰州大学第一医院,甘肃
52053,52004301,杭州迪安医疗控股有限公司,浙江
52054,52004316,安徽医科大学第四附属医院,安徽
52055,52004311,滁州市第一人民医院,安徽
52056,52004291,深圳市人民医院,广东
52057,52004327,上海市宝山区仁和医院,上海
52058,52004342,中国科学院大学附属肿瘤医院,浙江
52059,52004317,苍南县人民医院,浙江
52060,52004356,浦东新区公利医院,上海
52061,52004359,青岛市市立医院(康复大学青岛医院、青岛市医学影像学中心、青岛市临床医学研究所),山东
52062,52004362,浙江省衢州市人民医院,浙江
52063,52004391,浦东新区浦南医院,上海
52064,52004351,宁波市镇海区龙赛医院,浙江
52065,52004357,上海中医药大学附属普陀区中心医院,上海
52066,52004360,青岛大学附属医院市南院区,山东
52067,52004368,海军军医大学第一附属医院,上海
52068,52004371,山东中医药大学附属医院,山东
52069,52004294,厦门大学附属中山医院厦禾分部,福建
52070,52004276,广东卫健医疗器械有限公司,广东
52071,52004297,四川省亚中医疗仪器有限责任公司,四川
52072,52004333,浙江金华广福医院,浙江
52073,52004353,中国人民解放军东部战区总医院秦淮医疗区,江苏
52074,52004295,厦门大学附属中山医院,福建
52075,52004314,上海交通大学医学院附属第九人民医院北部院区,上海
52076,52004318,常州市第二人民医院,江苏
52077,52004319,常州市儿童医院,江苏
52078,52004322,宁波市奉化区中医医院,浙江
52079,52004338,南京医科大学附属口腔医院,江苏
52080,52004329,杭州师范大学附属医院,浙江
52081,52004394,上海海港医院,上海
52082,52004387,复旦大学附属金山医院,上海
52083,52004410,烟台毓璜顶医院,山东
52084,52004358,上海交通大学医学院附属仁济医院(东院),上海
52085,52004379,上海市第六人民医院,上海
52086,52004381,上海市第八人民医院,上海
52087,52004386,上海市松江区中心医院,上海
52088,52004389,上海市杨浦区控江医院,上海
52089,52004395,上海市第一妇婴保健院,上海
52090,52004400,上海交通大学医学院附属同仁医院,上海
52091,52004289,福建医科大学附属协和医院,福建
52092,52004367,苏州大学附属儿童医院,江苏
52093,52004385,中国福利会国际和平妇幼保健院,上海
52094,52004388,上海市虹口区江湾医院,上海
52095,52004397,绍兴市上虞人民医院,浙江
52096,52004408,徐州医科大学附属医院,江苏
52097,52004404,江南大学附属医院北院区,江苏
52098,52004419,舟山市妇女儿童医院,浙江
52099,52004460,中国中医科学院西苑医院,北京
52100,52004326,中国人民解放军海军特色医学中心,上海
52101,52004382,上海交通大学医学院附属仁济医院(西院),上海
52102,52004485,辽宁省金秋医院,辽宁
52103,52004486,辽宁省人民医院,辽宁
52104,52004496,山西医科大学第一医院,山西
52105,52004373,上海中医药大学附属曙光医院西院,上海
52106,52004493,宁夏医科大学总医院,宁夏
52107,52004392,江苏省人民医院,江苏
52108,52004497,石嘴山市第二人民医院,宁夏
52109,52004396,上海交通大学医学院附属新华医院,上海
52110,52004352,南京市第一医院,江苏
52111,52004398,苏州大学附属第一医院十梓街院区,江苏
52112,52004364,上海交通大学医学院附属瑞金医院,上海
52113,52004401,温岭市第一人民医院,浙江
